id,path,catalog_slugs,eligible_case_definition,as_deployed_staff_effort,as_deployed_zero_touch_issue,as_deployed_zero_touch_full,tomorrow_staff_effort,tomorrow_zero_touch_issue,tomorrow_zero_touch_full,software_staff_models,software_zero_touch_issue,software_zero_touch_full,software_elapsed,conditions_and_limits,confidence,source_ids,source_urls
C2,Complex TI/change of occupancy,tenant-improvement;change-of-use-permit,Use/occupant load/system/structural changes,Unknown measured,0 demonstrated authoritative completions,0 demonstrated authoritative completions,Unknown; supervised comparison/assistance only,0 through app alone,0 through app alone,M3;M4,Unknown,0,Unknown measured; possible administrative queue/correction reduction; statutory and external time retained,Do not auto-waive seismic/fire/accessibility based on generic suspension text,High on identified implementation gaps; medium authority/process; low quantitative forecast,O09;O12;O14,https://www.portland.gov/ppd/commercial-permitting/commercial-requirements;https://www.portland.gov/code/24/85;https://www.portland.gov/permitimprovement/code-alignment-project
C3,New commercial/nonresidential,commercial-building-permit,Complete engineered site/building/utility design,Unknown measured,0 demonstrated authoritative completions,0 demonstrated authoritative completions,Unknown; supervised comparison/assistance only,0 through app alone,0 through app alone,M4,Unknown,0,Unknown measured; possible administrative queue/correction reduction; statutory and external time retained,"Professional review, bureau capacity and field acceptance remain",High on identified implementation gaps; medium authority/process; low quantitative forecast,O09;O11,https://www.portland.gov/ppd/commercial-permitting/commercial-requirements;https://www.oregon.gov/bcd/codes-stand/Pages/ossc-adoption.aspx
C4,Multifamily/mixed-use,commercial-building-permit,"Correct structural code/occupancy, housing and nonhousing areas, utilities and public works",Unknown measured,0 demonstrated authoritative completions,0 demonstrated authoritative completions,Unknown; supervised comparison/assistance only,0 through app alone,0 through app alone,M4,Unknown,0,Unknown measured; possible administrative queue/correction reduction; statutory and external time retained,Housing exemption and mixed-use allocations require conditional treatment,High on identified implementation gaps; medium authority/process; low quantitative forecast,O11;O16,https://www.oregon.gov/bcd/codes-stand/Pages/ossc-adoption.aspx;https://www.portland.gov/ppd/current-fee-schedules/housing-sdc-exemption
D1,Residential demolition with applicable delay,demolition-permit,"Qualifying structure, age/historic/deconstruction criteria and notice obligations",Unknown measured,0 demonstrated authoritative completions,0 demonstrated authoritative completions,Unknown; supervised comparison/assistance only,0 through app alone,0 through app alone,M3,0 if required agency determinations remain; all-case share unknown,0,Unknown measured; possible administrative queue/correction reduction; statutory and external time retained,Automate notice preparation and clocks; do not erase legal delay,High on identified implementation gaps; medium authority/process; low quantitative forecast,O19;O20,https://www.portland.gov/ppd/residential-permitting/home-projects/residential-demolition-permits;https://www.portland.gov/ppd/codes-rules-and-guides/bod-24-02-demolition
D2,Demolition exempt from delay/other buildings,demolition-permit,Documented exception or different legal class; environmental and site duties retained,Unknown measured,0 demonstrated authoritative completions,0 demonstrated authoritative completions,Unknown; supervised comparison/assistance only,0 through app alone,0 through app alone,M3,Unknown,0,Unknown measured; possible administrative queue/correction reduction; statutory and external time retained,No public waiting period in a specific exception does not mean no inspections/clearances,High on identified implementation gaps; medium authority/process; low quantitative forecast,O19;O20,https://www.portland.gov/ppd/residential-permitting/home-projects/residential-demolition-permits;https://www.portland.gov/ppd/codes-rules-and-guides/bod-24-02-demolition
L1,Objective administrative land-use checks,land-use-review,"Only determinate standards, correct review type and no discretionary findings",Unknown measured,0 demonstrated authoritative completions,0 demonstrated authoritative completions,Unknown; supervised comparison/assistance only,0 through app alone,0 through app alone,M2,Unknown; technical eligibility may automate but legal decision/notice still applies,Unknown; conditions/appeal determine endpoint,Unknown measured; possible administrative queue/correction reduction; statutory and external time retained,Keep notice/appeal clocks and finality separate from technical pass,High on identified implementation gaps; medium authority/process; low quantitative forecast,O17;O18,https://www.portland.gov/bds/article/204690;https://www.portland.gov/bds/documents/type-ii-land-use-review-procedure/download
L2,Discretionary land use/hearings,land-use-review;land-use-appeal,Conditional uses/design/environmental/adjustments or hearing/appeal paths,Unknown measured,0 demonstrated authoritative completions,0 demonstrated authoritative completions,Unknown; supervised comparison/assistance only,0 through app alone,0 through app alone,M4,0 for cases requiring human merits decision,0,Unknown measured; possible administrative queue/correction reduction; statutory and external time retained,Software assists records/checks/scheduling; public process and decision remain,High on identified implementation gaps; medium authority/process; low quantitative forecast,O17;O18,https://www.portland.gov/bds/article/204690;https://www.portland.gov/bds/documents/type-ii-land-use-review-procedure/download
TR1,Ordinary exempt private tree work,tree-pruning-private;tree-removal-permit,"Verified exempt work, tree/site status and no protected conditions",Unknown measured,0 demonstrated authoritative completions,0 demonstrated authoritative completions,Unknown; supervised comparison/assistance only,0 through app alone,0 through app alone,unknown,Not applicable for exempt work,Unknown,Unknown measured; possible administrative queue/correction reduction; statutory and external time retained,Deliver scope-specific guidance; no fictitious permit issuance,High on identified implementation gaps; medium authority/process; low quantitative forecast,O21;O23,https://www.portland.gov/ppd/tree-permits/do-i-need-tree-permit;https://www.portland.gov/ppd/tree-permits/removal-and-replanting-permits/do-i-need-permit-remove-trees-private-property
TR2,Routine street-tree pruning,tree-pruning-street,Limited authorized pruning scope with verified tree/ownership/contractor/site evidence,Unknown measured,0 demonstrated authoritative completions,0 demonstrated authoritative completions,Unknown; supervised comparison/assistance only,0 through app alone,0 through app alone,M2,Unknown; potential highly automated administrative subset,0 if field evaluation required; otherwise unknown,Unknown measured; possible administrative queue/correction reduction; statutory and external time retained,Separate larger limbs/heritage/hazard work,High on identified implementation gaps; medium authority/process; low quantitative forecast,O24,https://www.portland.gov/trees/treepermits/documents/street-tree-permit-application-non-removal/download
TR3,Tree removal Type A,tree-removal-permit,"All adopted Type A objective conditions, replacement/fees and site evidence",Unknown measured,0 demonstrated authoritative completions,0 demonstrated authoritative completions,Unknown; supervised comparison/assistance only,0 through app alone,0 through app alone,M2;M3,Unknown,0 when field verification/replanting staff work required,Unknown measured; possible administrative queue/correction reduction; statutory and external time retained,"Species/diameter/ownership are facts to verify, not arbitrary accepted text",High on identified implementation gaps; medium authority/process; low quantitative forecast,O22;O23,https://www.portland.gov/code/11/40;https://www.portland.gov/ppd/tree-permits/removal-and-replanting-permits/do-i-need-permit-remove-trees-private-property
TR4,Tree Type B/heritage/waiver/programmatic,tree-removal-permit;heritage-tree-permit;replanting-waiver;programmatic-tree-permit,Discretionary tree condition/site/mitigation paths,Unknown measured,0 demonstrated authoritative completions,0 demonstrated authoritative completions,Unknown; supervised comparison/assistance only,0 through app alone,0 through app alone,M4,0 for required human decision,0,Unknown measured; possible administrative queue/correction reduction; statutory and external time retained,"Arborist findings, notice and protection/replanting monitoring remain",High on identified implementation gaps; medium authority/process; low quantitative forecast,O22,https://www.portland.gov/code/11/40
FR1,Simple recurring fire operating permit,fire-code-permit;portable-propane-permit;welding-hot-work-permit,Approved narrow activity with unchanged premises/credentials and current inspection status,Unknown measured,0 demonstrated authoritative completions,0 demonstrated authoritative completions,Unknown; supervised comparison/assistance only,0 through app alone,0 through app alone,M2;M3,Unknown; renewal automation conditional on actual policy,0 if inspection required,Unknown measured; possible administrative queue/correction reduction; statutory and external time retained,General form does not establish this eligible class,High on identified implementation gaps; medium authority/process; low quantitative forecast,O28;O29,https://www.portland.gov/fire/permits-inspections/public-assembly-permit-requirements;https://www.portland.gov/fire/permits-inspections/documents/30008an-annual-permit-public-special-events-0/download
FR2,Fire event/special hazard,public-assembly-fire-permit;pyrotechnic-permit;outdoor-tent-permit;fire-art-performer-permit;laser-permit;ceremonial-bonfire-permit,Event/site/hazard-specific review and safety conditions,Unknown measured,0 demonstrated authoritative completions,0 demonstrated authoritative completions,Unknown; supervised comparison/assistance only,0 through app alone,0 through app alone,M3,0 where required inspection/officer decision precedes permission,0,Unknown measured; possible administrative queue/correction reduction; statutory and external time retained,"Site safety, crowd/event conditions and staffing remain",High on identified implementation gaps; medium authority/process; low quantitative forecast,O28;O29,https://www.portland.gov/fire/permits-inspections/public-assembly-permit-requirements;https://www.portland.gov/fire/permits-inspections/documents/30008an-annual-permit-public-special-events-0/download
FS1,Minor fire-system alteration,fire-alarm-alteration;sprinkler-system-minor,Exact existing affidavit/minor-modification path accepted by fire authority,Unknown measured,0 demonstrated authoritative completions,0 demonstrated authoritative completions,Unknown; supervised comparison/assistance only,0 through app alone,0 through app alone,M2,Unknown,0 including required acceptance testing,Unknown measured; possible administrative queue/correction reduction; statutory and external time retained,Do not equate affidavit receipt with system approval,High on identified implementation gaps; medium authority/process; low quantitative forecast,O30,https://www.portland.gov/fire/permits-inspections/documents/design-manual-fire-protection-systems-and-processes/download
FS2,New/major fire system,fire-alarm-installation;sprinkler-system-permit,Professional design/engineering and full acceptance requirements,Unknown measured,0 demonstrated authoritative completions,0 demonstrated authoritative completions,Unknown; supervised comparison/assistance only,0 through app alone,0 through app alone,M3,Unknown,0,Unknown measured; possible administrative queue/correction reduction; statutory and external time retained,Functional and hydraulic tests are physical evidence,High on identified implementation gaps; medium authority/process; low quantitative forecast,O30;O09,https://www.portland.gov/fire/permits-inspections/documents/design-manual-fire-protection-systems-and-processes/download;https://www.portland.gov/ppd/commercial-permitting/commercial-requirements
SI1,Portable sign compliant placement,portable-sign-registration,Post-July 25 2026 scope; size/location compliance,Unknown measured,0 demonstrated authoritative completions,0 demonstrated authoritative completions,Unknown; supervised comparison/assistance only,0 through app alone,0 through app alone,unknown,Not applicable: no registration required,Unknown,Unknown measured; possible administrative queue/correction reduction; statutory and external time retained,Retire obsolete transaction; guidance only,High on identified implementation gaps; medium authority/process; low quantitative forecast,O31;O32,https://www.portland.gov/ppd/sign-permits;https://www.portland.gov/transportation/permitting/portable-signs-boards
SI2,Temporary banner registration,temporary-sign-permit;sign-permit,"Applicable registration type, duration/area/site criteria",Unknown measured,0 demonstrated authoritative completions,0 demonstrated authoritative completions,Unknown; supervised comparison/assistance only,0 through app alone,0 through app alone,M2,Unknown; potential objective administration,Unknown; display/removal and enforcement remain,Unknown measured; possible administrative queue/correction reduction; statutory and external time retained,Separate other exempt temporary signs,High on identified implementation gaps; medium authority/process; low quantitative forecast,O31,https://www.portland.gov/ppd/sign-permits
SI3,Permanent sign/awning,permanent-sign-permit;sign-permit;fabric-awning-permit,"Sign inventory, dimensions, attachments/structure/illumination and land-use conditions",Unknown measured,0 demonstrated authoritative completions,0 demonstrated authoritative completions,Unknown; supervised comparison/assistance only,0 through app alone,0 through app alone,M2;M3,Unknown,0 when inspection required,Unknown measured; possible administrative queue/correction reduction; statutory and external time retained,"Engineering, electrical permits and geometry beyond text fields",High on identified implementation gaps; medium authority/process; low quantitative forecast,O31,https://www.portland.gov/ppd/sign-permits
RW1,Simple temporary parking/space use,right-of-way-permit;portable-storage-permit;parking-day-permit,"Known space/time, no traffic/access conflict or site exception",Unknown measured,0 demonstrated authoritative completions,0 demonstrated authoritative completions,Unknown; supervised comparison/assistance only,0 through app alone,0 through app alone,M2,Unknown; potential high administrative automation,Unknown; setup/removal/enforcement remain,Unknown measured; possible administrative queue/correction reduction; statutory and external time retained,Live space calendar and current street restrictions are necessary,High on identified implementation gaps; medium authority/process; low quantitative forecast,O25;O26,https://www.portland.gov/transportation/permitting/temporary-street-use-permitting-tsup;https://www.portland.gov/transportation/permitting/apply-renew-or-change-temporary-street-use-permit
RW2,Lane/sidewalk closure/event,street-closure-permit;special-event-permit;right-of-way-permit,Traffic-control/ADA/emergency/transit conflicts or special event,Unknown measured,0 demonstrated authoritative completions,0 demonstrated authoritative completions,Unknown; supervised comparison/assistance only,0 through app alone,0 through app alone,M3,Unknown; required staff engineering judgment remains,0 if inspections/staff field review,Unknown measured; possible administrative queue/correction reduction; statutory and external time retained,Static rules alone cannot know conflicting bookings or emergencies,High on identified implementation gaps; medium authority/process; low quantitative forecast,O25;O26,https://www.portland.gov/transportation/permitting/temporary-street-use-permitting-tsup;https://www.portland.gov/transportation/permitting/apply-renew-or-change-temporary-street-use-permit
RW3,ROW construction/encroachment,driveway-approach-permit;encroachment-permit;bike-rack-street;bike-rack-sidewalk,"Civil geometry, utilities, insurance/bonds and restoration requirements",Unknown measured,0 demonstrated authoritative completions,0 demonstrated authoritative completions,Unknown; supervised comparison/assistance only,0 through app alone,0 through app alone,M3,Unknown,0,Unknown measured; possible administrative queue/correction reduction; statutory and external time retained,Physical construction and site/asset acceptance remain,High on identified implementation gaps; medium authority/process; low quantitative forecast,O27;O33,https://www.portland.gov/transportation/permitting/encroachment-permits;https://www.portland.gov/ppd/infrastructure/ur-and-uc-permits
W1,UC/UR sewer connection/repair,sewer-lateral-connection;sewer-lateral-repair,Verified property/scope/contractor/insurance/bond and linked private plumbing,Unknown measured,0 demonstrated authoritative completions,0 demonstrated authoritative completions,Unknown; supervised comparison/assistance only,0 through app alone,0 through app alone,M3,Unknown; release administration could be substantially automated,0,Unknown measured; possible administrative queue/correction reduction; statutory and external time retained,"Target repeated documents, payment notification and issue handoff",High on identified implementation gaps; medium authority/process; low quantitative forecast,O33;O34,https://www.portland.gov/ppd/infrastructure/ur-and-uc-permits;https://www.portland.gov/ppd/infrastructure/ur-and-uc-permits/uc-permit
W2,Meter/backflow/service work,residential-water-meter;commercial-water-meter;backflow-prevention,Demand/capacity/device and qualified tester requirements,Unknown measured,0 demonstrated authoritative completions,0 demonstrated authoritative completions,Unknown; supervised comparison/assistance only,0 through app alone,0 through app alone,M3,Unknown,0,Unknown measured; possible administrative queue/correction reduction; statutory and external time retained,Physical installation/test and billing/asset activation required,High on identified implementation gaps; medium authority/process; low quantitative forecast,O35,https://www.portland.gov/ppd/infrastructure/sewer-stormwater-permit-requirements
W3,Industrial discharge/septic/environmental,industrial-wastewater-permit;stormwater-npdes-permit;septic-permit-new;septic-permit-repair,Correct agency/program and environmental/site evidence,Unknown measured,0 demonstrated authoritative completions,0 demonstrated authoritative completions,Unknown; supervised comparison/assistance only,0 through app alone,0 through app alone,unknown,Unknown; no numeric estimate supported,0 where site/lab/agency decision required,Unknown measured; possible administrative queue/correction reduction; statutory and external time retained,Different state/city programs; dedicated legal/rule audit still needed,High on identified implementation gaps; medium authority/process; low quantitative forecast,O35;O36,https://www.portland.gov/ppd/infrastructure/sewer-stormwater-permit-requirements;https://www.oregon.gov/deq/wq/Documents/1200CPermit.pdf
AS1,ASTR Type A,accessory-str-permit;short-term-rental,Verified residency/legal bedrooms/notice and certification; exclude selected inspections/exception cases,Unknown measured,0 demonstrated authoritative completions,0 demonstrated authoritative completions,Unknown; supervised comparison/assistance only,0 through app alone,0 through app alone,M2,Unknown; 10% inspection sample is not evidence that other 90% are automatically issuable,Unknown due renewal/enforcement and sampling,Unknown measured; possible administrative queue/correction reduction; statutory and external time retained,Confirm bureau application of ENB-13.02 before designing live selection logic,High on identified implementation gaps; medium authority/process; low quantitative forecast,O37;O38,https://www.portland.gov/bds/astr-permits/before-you-apply;https://www.portland.gov/policies/environment-built/permitting-development-administrative-policies-procedures/enb-1302
AS2,ASTR Type B,accessory-str-permit;short-term-rental,Conditional-use scope and applicable conditions,Unknown measured,0 demonstrated authoritative completions,0 demonstrated authoritative completions,Unknown; supervised comparison/assistance only,0 through app alone,0 through app alone,M4,0 for required discretionary decision,0,Unknown measured; possible administrative queue/correction reduction; statutory and external time retained,Local permit and tax registration remain distinct,High on identified implementation gaps; medium authority/process; low quantitative forecast,O37,https://www.portland.gov/bds/astr-permits/before-you-apply
HO1,Home business Type A/B,home-occupation-permit,Type A no-permit guidance; Type B conditions/notice; exceptions separately routed,Unknown measured,0 demonstrated authoritative completions,0 demonstrated authoritative completions,Unknown; supervised comparison/assistance only,0 through app alone,0 through app alone,M2,Unknown for Type B; not applicable for exempt Type A,Unknown,Unknown measured; possible administrative queue/correction reduction; statutory and external time retained,"Verify updated limits and current process, do not trust legacy field labels",High on identified implementation gaps; medium authority/process; low quantitative forecast,O39,https://www.portland.gov/ppd/home-occupation-permit
