slug,title,category,service_nature,family,authority,authority_confidence,scope_split_or_overlap,workflow_through_closeout,current_capability,current_classification,live_route,source_schema,default_disciplines,remaining_human_or_external_work,as_deployed_staff_effort_issue,as_deployed_staff_effort_full,as_deployed_zero_touch_issue,as_deployed_zero_touch_full,as_deployed_elapsed_reduction,tomorrow_use,tomorrow_staff_effort_issue,tomorrow_staff_effort_full,tomorrow_zero_touch_issue,tomorrow_zero_touch_full,tomorrow_elapsed_reduction,software_only_implementation,software_effort_models,software_staff_effort_issue,software_staff_effort_full,software_zero_touch_issue,software_zero_touch_full,software_elapsed_reduction,remaining_limits,missing_shared_implementation,impact_volume,impact_effort_and_delay,confidence,official_source_ids,official_source_urls,test_evidence
close-business-account,Close Business Tax Account,business-filings,tax/account transaction,Tax filings/accounts,Portland Revenue Division for applicable City/County/Metro program; verify tax-year scope,Medium where official family source applies; otherwise catalog attribution only,Revenue account closure does not dissolve a state-registered entity or erase liabilities.,Identify tax/account/period -> calculate or collect return -> validate schedules -> authorized filing/payment -> ledger/reconciliation -> amendments/refunds/audit,Public form schema/route implemented; original pipeline fixture reaches human_review. No default discipline assignment; manual triage required,partial,https://www.portlandpermits.org/apply/close-business-account,https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/catalog/forms/business-filings/close-business-account.json,none,"Taxpayer supplies truthful records; authority resolves audits, discretionary relief and contested assessments.",Unknown; no measured department use,Unknown; no measured department use,0 demonstrated authoritative completions; no City issuing adapter,0 demonstrated authoritative completions,Unknown; no matched outcome cohort,Guidance or supervised comparison only. Staff must verify rules and enter/complete official systems; real sensitive intake requires P0 fixes first.,Unknown; potential clerical benefit offset by duplicate entry,Unknown; field work and official-system work remain,0 via this app alone,0 via this app alone,Unknown; no proven critical-path reduction,Tax-year rule engine; official account/filing API; exact rates and thresholds; signed declarations and payment ledger.,unknown,Unknown empirically; conditional budgets unknown,Unknown empirically; conditional budgets unknown,Unknown case share; see path splits and remaining limits,0 for classes requiring staff inspection/merits decision; otherwise unknown,"Administrative queues/corrections may shrink; required waits, applicant work and physical work remain; no validated percentage",A local application record is not a filed return or remitted tax; current-year coverage is unaudited.,"P0 security/schema/state/payment correctness; official case/fee/document/notification adapters; durable jobs, recovery and audit; see backlog",No audited per-slug annual count; do not allocate broad official totals to this row,Family-specific models and shared volume sensitivity only; no additive per-form savings,High source wiring; medium workflow-family; low/unmeasured impact,O44,https://www.portland.gov/revenue,evidence/catalog-verification.json#close-business-account
code-enforcement-report,Code Enforcement Complaint,reports,report/field service,Reports/field service,PP&D Code Compliance,Medium where official family source applies; otherwise catalog attribution only,"Violation triage/investigation, notice, enforcement and compliance verification.",Receive location/evidence -> triage/jurisdiction/duplicate check -> dispatch -> investigation/physical work -> verify/close and notify,Public form schema/route implemented; original pipeline fixture reaches human_review. Client upload object/string-array validation mismatch reproduced No default discipline assignment; manual triage required,partial,https://www.portlandpermits.org/apply/code-enforcement-report,https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/catalog/forms/reports/code-enforcement-report.json,none,"Investigators, responders or maintenance crews perform and verify the work.",Unknown; no measured department use,Unknown; no measured department use,0 demonstrated authoritative completions; no City issuing adapter,0 demonstrated authoritative completions,Unknown; no matched outcome cohort,Guidance or supervised comparison only. Staff must verify rules and enter/complete official systems; real sensitive intake requires P0 fixes first.,Unknown; potential clerical benefit offset by duplicate entry,Unknown; field work and official-system work remain,0 via this app alone,0 via this app alone,Unknown; no proven critical-path reduction,"311/work-order integrations; asset and incident IDs; prioritization, duplicate matching and SLA/escalation.",unknown,Unknown empirically; conditional budgets unknown,Unknown empirically; conditional budgets unknown,Unknown case share; see path splits and remaining limits,0 for classes requiring staff inspection/merits decision; otherwise unknown,"Administrative queues/corrections may shrink; required waits, applicant work and physical work remain; no validated percentage","No outage, pothole or complaint is resolved merely because its form has been submitted.","P0 security/schema/state/payment correctness; official case/fee/document/notification adapters; durable jobs, recovery and audit; see backlog",No audited per-slug annual count; do not allocate broad official totals to this row,Family-specific models and shared volume sensitivity only; no additive per-form savings,High source wiring; medium workflow-family; low/unmeasured impact,O02,https://www.portland.gov/ppd/submit-and-pay-application-permit-type,evidence/catalog-verification.json#code-enforcement-report
code-violation-appeal,Code Enforcement Appeal,claims,appeal/claim/variance,Appeals/claims,PP&D,Medium where official family source applies; otherwise catalog attribution only,"Underlying code decision determines standing, deadlines, hearing and remedy.",Identify decision/standing/deadline -> admissibility and record -> response/hearing/investigation -> independent decision -> remedy/payment/compliance,Public form schema/route implemented; original pipeline fixture reaches human_review. Client upload object/string-array validation mismatch reproduced No default discipline assignment; manual triage required,partial,https://www.portlandpermits.org/apply/code-violation-appeal,https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/catalog/forms/claims/code-violation-appeal.json,none,"Decision-maker, claimant and other parties; hearings, evidence and legal judgment remain.",Unknown; no measured department use,Unknown; no measured department use,0 demonstrated authoritative completions; no City issuing adapter,0 demonstrated authoritative completions,Unknown; no matched outcome cohort,Guidance or supervised comparison only. Staff must verify rules and enter/complete official systems; real sensitive intake requires P0 fixes first.,Unknown; potential clerical benefit offset by duplicate entry,Unknown; field work and official-system work remain,0 via this app alone,0 via this app alone,Unknown; no proven critical-path reduction,Deadline/fee/record assembly; status and scheduling; conflict-free assignments and outcome accounting.,M4,Unknown empirically; conditional budgets M4,Unknown empirically; conditional budgets M4,Unknown case share; see path splits and remaining limits,0 for classes requiring staff inspection/merits decision; otherwise unknown,"Administrative queues/corrections may shrink; required waits, applicant work and physical work remain; no validated percentage",Automating intake cannot automate discretionary or contested merits under unchanged policy.,"P0 security/schema/state/payment correctness; official case/fee/document/notification adapters; durable jobs, recovery and audit; see backlog",No audited per-slug annual count; do not allocate broad official totals to this row,Family-specific models and shared volume sensitivity only; no additive per-form savings,High source wiring; medium workflow-family; low/unmeasured impact,O17;O18,https://www.portland.gov/bds/article/204690;https://www.portland.gov/bds/documents/type-ii-land-use-review-procedure/download,evidence/catalog-verification.json#code-violation-appeal
commercial-building-permit,Commercial Building Permit,permits,permit/license or conditional exemption,Commercial construction,PP&D,Medium where official family source applies; otherwise catalog attribution only,"Split new nonresidential, multifamily/mixed use, addition, alteration and change of occupancy.",Occupancy/use classification -> plans and site analysis -> structural/life safety/fire/zoning/infrastructure review -> corrections -> preissuance and trade permits -> inspections/special tests -> certificate of occupancy when required,"Public form schema/route implemented; original pipeline fixture reaches human_review. Client upload object/string-array validation mismatch reproduced Pipeline expects absent document keys: site_plan, floor_plans, elevations, structural_plans",partial,https://www.portlandpermits.org/apply/commercial-building-permit,https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/catalog/forms/permits/commercial-building-permit.json,zoning;structural;life_safety;fire;environmental;water;transportation;trees,"Design professionals, reviewers, fire/site teams and inspectors remain; land-use or infrastructure approvals may gate issuance.",Unknown; no measured department use,Unknown; no measured department use,0 demonstrated authoritative completions; no City issuing adapter,0 demonstrated authoritative completions,Unknown; no matched outcome cohort,Guidance or supervised comparison only. Staff must verify rules and enter/complete official systems; real sensitive intake requires P0 fixes first.,Unknown; potential clerical benefit offset by duplicate entry,Unknown; field work and official-system work remain,0 via this app alone,0 via this app alone,Unknown; no proven critical-path reduction,Versioned BIM/structured plan data; occupancy/egress/accessibility/energy checks; rated assemblies; calculations; dependency and condition tracking.,M3;M4,Unknown empirically; conditional budgets M3;M4,Unknown empirically; conditional budgets M3;M4,Unknown case share; see path splits and remaining limits,0 for classes requiring staff inspection/merits decision; otherwise unknown,"Administrative queues/corrections may shrink; required waits, applicant work and physical work remain; no validated percentage","TI cosmetic work, change of occupancy and new/multifamily projects have materially different requirements.","P0 security/schema/state/payment correctness; official case/fee/document/notification adapters; durable jobs, recovery and audit; see backlog",No audited per-slug annual count; do not allocate broad official totals to this row,Family-specific models and shared volume sensitivity only; no additive per-form savings,High source wiring; medium workflow-family; low/unmeasured impact,O02;O09;O11;O14,https://www.portland.gov/ppd/submit-and-pay-application-permit-type;https://www.portland.gov/ppd/commercial-permitting/commercial-requirements;https://www.oregon.gov/bcd/codes-stand/Pages/ossc-adoption.aspx;https://www.portland.gov/permitimprovement/code-alignment-project,evidence/catalog-verification.json#commercial-building-permit
commercial-electrical-permit,Commercial Electrical Permit,permits,permit/license or conditional exemption,Trades,PP&D,Medium where official family source applies; otherwise catalog attribution only,Commercial scope: classify plan-required versus permitted no-review work; separate from electrical-permit slug.,Scope/contractor/jurisdiction -> plan-review eligibility -> drawings/review if required -> assessed payment -> official trade permit -> installation inspections/reinspection -> final,Public form schema/route implemented; original pipeline fixture reaches human_review. Client upload object/string-array validation mismatch reproduced No default discipline assignment; manual triage required,partial,https://www.portlandpermits.org/apply/commercial-electrical-permit,https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/catalog/forms/permits/commercial-electrical-permit.json,none,Applicant supplies scope and licenses; reviewers handle plan-required work; licensed installers and inspectors perform work.,Unknown; no measured department use,Unknown; no measured department use,0 demonstrated authoritative completions; no City issuing adapter,0 demonstrated authoritative completions,Unknown; no matched outcome cohort,Guidance or supervised comparison only. Staff must verify rules and enter/complete official systems; real sensitive intake requires P0 fixes first.,Unknown; potential clerical benefit offset by duplicate entry,Unknown; field work and official-system work remain,0 via this app alone,0 via this app alone,Unknown; no proven critical-path reduction,Canonical scope taxonomy; license registry; current fixture/equipment fees; DevHub issue adapter; inspection link.,M1;M2,Unknown empirically; conditional budgets M1;M2,Unknown empirically; conditional budgets M1;M2,Conditional 100% only eligible no-plan-review trade class; plan-required share unknown,0 for classes requiring staff inspection/merits decision; otherwise unknown,"Administrative queues/corrections may shrink; required waits, applicant work and physical work remain; no validated percentage",No-plan-review and plan-review scopes differ; unknown licenses/site data must route to staff.,"P0 security/schema/state/payment correctness; official case/fee/document/notification adapters; durable jobs, recovery and audit; see backlog",No audited per-slug annual count; do not allocate broad official totals to this row,Family-specific models and shared volume sensitivity only; no additive per-form savings,High source wiring; medium workflow-family; low/unmeasured impact,O01;O02;O08;O09,https://www.portland.gov/ppd/devhub-faqs;https://www.portland.gov/ppd/submit-and-pay-application-permit-type;https://www.portland.gov/ppd/commercial-permitting/commercial-permit-inspections/commercial-mechanical-permits;https://www.portland.gov/ppd/commercial-permitting/commercial-requirements,evidence/catalog-verification.json#commercial-electrical-permit
commercial-mechanical-permit,Commercial Mechanical Permit,permits,permit/license or conditional exemption,Trades,PP&D,Medium where official family source applies; otherwise catalog attribution only,Commercial engineered work versus narrow exempt-from-plan-review classes; July 2026 rule update relevant.,Scope/contractor/jurisdiction -> plan-review eligibility -> drawings/review if required -> assessed payment -> official trade permit -> installation inspections/reinspection -> final,Public form schema/route implemented; original pipeline fixture reaches human_review. Client upload object/string-array validation mismatch reproduced No default discipline assignment; manual triage required,partial,https://www.portlandpermits.org/apply/commercial-mechanical-permit,https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/catalog/forms/permits/commercial-mechanical-permit.json,none,Applicant supplies scope and licenses; reviewers handle plan-required work; licensed installers and inspectors perform work.,Unknown; no measured department use,Unknown; no measured department use,0 demonstrated authoritative completions; no City issuing adapter,0 demonstrated authoritative completions,Unknown; no matched outcome cohort,Guidance or supervised comparison only. Staff must verify rules and enter/complete official systems; real sensitive intake requires P0 fixes first.,Unknown; potential clerical benefit offset by duplicate entry,Unknown; field work and official-system work remain,0 via this app alone,0 via this app alone,Unknown; no proven critical-path reduction,Canonical scope taxonomy; license registry; current fixture/equipment fees; DevHub issue adapter; inspection link.,M1;M2,Unknown empirically; conditional budgets M1;M2,Unknown empirically; conditional budgets M1;M2,Conditional 100% only eligible no-plan-review trade class; plan-required share unknown,0 for classes requiring staff inspection/merits decision; otherwise unknown,"Administrative queues/corrections may shrink; required waits, applicant work and physical work remain; no validated percentage",No-plan-review and plan-review scopes differ; unknown licenses/site data must route to staff.,"P0 security/schema/state/payment correctness; official case/fee/document/notification adapters; durable jobs, recovery and audit; see backlog",No audited per-slug annual count; do not allocate broad official totals to this row,Family-specific models and shared volume sensitivity only; no additive per-form savings,High source wiring; medium workflow-family; low/unmeasured impact,O01;O02;O08;O09,https://www.portland.gov/ppd/devhub-faqs;https://www.portland.gov/ppd/submit-and-pay-application-permit-type;https://www.portland.gov/ppd/commercial-permitting/commercial-permit-inspections/commercial-mechanical-permits;https://www.portland.gov/ppd/commercial-permitting/commercial-requirements,evidence/catalog-verification.json#commercial-mechanical-permit
commercial-water-meter,Commercial Water Meter Sizing & Request,water-sewer,permit/license or conditional exemption,Water/sewer works,Water Bureau,Medium where official family source applies; otherwise catalog attribution only,Demand/size and capacity design; fees and physical meter installation.,Service/capacity and ROW/private classification -> engineering/backflow/sewer review -> fees/bonds/permission -> connection or repair -> pressure/other tests and inspections -> billing/as-builts/final,Public form schema/route implemented; original pipeline fixture reaches human_review. Client upload object/string-array validation mismatch reproduced No default discipline assignment; manual triage required,partial,https://www.portlandpermits.org/apply/commercial-water-meter,https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/catalog/forms/water-sewer/commercial-water-meter.json,none,"Bureau designers, licensed contractors, inspectors and sometimes utility crews.",Unknown; no measured department use,Unknown; no measured department use,0 demonstrated authoritative completions; no City issuing adapter,0 demonstrated authoritative completions,Unknown; no matched outcome cohort,Guidance or supervised comparison only. Staff must verify rules and enter/complete official systems; real sensitive intake requires P0 fixes first.,Unknown; potential clerical benefit offset by duplicate entry,Unknown; field work and official-system work remain,0 via this app alone,0 via this app alone,Unknown; no proven critical-path reduction,Meter/service inventory; hydraulic capacity; contractor/insurance/bond verification; DevHub/billing/field work adapters.,M3,Unknown empirically; conditional budgets M3,Unknown empirically; conditional budgets M3,Unknown case share; see path splits and remaining limits,0 for classes requiring staff inspection/merits decision; otherwise unknown,"Administrative queues/corrections may shrink; required waits, applicant work and physical work remain; no validated percentage",UC/UR and private plumbing are distinct; software cannot install meters or verify buried work alone.,"P0 security/schema/state/payment correctness; official case/fee/document/notification adapters; durable jobs, recovery and audit; see backlog",No audited per-slug annual count; do not allocate broad official totals to this row,Family-specific models and shared volume sensitivity only; no additive per-form savings,High source wiring; medium workflow-family; low/unmeasured impact,O33;O34;O35,https://www.portland.gov/ppd/infrastructure/ur-and-uc-permits;https://www.portland.gov/ppd/infrastructure/ur-and-uc-permits/uc-permit;https://www.portland.gov/ppd/infrastructure/sewer-stormwater-permit-requirements,evidence/catalog-verification.json#commercial-water-meter
contractor-registration-update,Contractor Registration Update,updates,account update/registration,Account updates/registration,PP&D,Medium where official family source applies; otherwise catalog attribution only,City profile versus state CCB/BCD license; no state credential change by editing this form.,Verify identity/authority -> validate requested update -> update authoritative systems -> confirmation and exceptions,Public form schema/route implemented; original pipeline fixture reaches human_review. Client upload object/string-array validation mismatch reproduced No default discipline assignment; manual triage required,partial,https://www.portlandpermits.org/apply/contractor-registration-update,https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/catalog/forms/updates/contractor-registration-update.json,none,Customer and owner agency; physical service transfer if needed.,Unknown; no measured department use,Unknown; no measured department use,0 demonstrated authoritative completions; no City issuing adapter,0 demonstrated authoritative completions,Unknown; no matched outcome cohort,Guidance or supervised comparison only. Staff must verify rules and enter/complete official systems; real sensitive intake requires P0 fixes first.,Unknown; potential clerical benefit offset by duplicate entry,Unknown; field work and official-system work remain,0 via this app alone,0 via this app alone,Unknown; no proven critical-path reduction,Account/identity matching; consent scope; exact agency API; audit and rollback.,unknown,Unknown empirically; conditional budgets unknown,Unknown empirically; conditional budgets unknown,Unknown case share; see path splits and remaining limits,0 for classes requiring staff inspection/merits decision; otherwise unknown,"Administrative queues/corrections may shrink; required waits, applicant work and physical work remain; no validated percentage",No single citywide address/contractor registry is proven connected; private/state registries may own the record.,"P0 security/schema/state/payment correctness; official case/fee/document/notification adapters; durable jobs, recovery and audit; see backlog",No audited per-slug annual count; do not allocate broad official totals to this row,Family-specific models and shared volume sensitivity only; no additive per-form savings,High source wiring; medium workflow-family; low/unmeasured impact,O44,https://www.portland.gov/revenue,evidence/catalog-verification.json#contractor-registration-update
deck-permit,Deck Construction Permit,permits,permit/license or conditional exemption,Residential construction,PP&D,Medium where official family source applies; otherwise catalog attribution only,Exempt low deck versus permitted elevated/attached/engineered deck; zoning remains.,Jurisdiction/legal use -> scope and zoning -> complete plans -> required disciplines/corrections -> preissuance fees/conditions -> building and linked trades -> staged inspections -> final/occupancy if applicable,Public form schema/route implemented; original pipeline fixture reaches human_review. No default discipline assignment; manual triage required,partial,https://www.portlandpermits.org/apply/deck-permit,https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/catalog/forms/permits/deck-permit.json,none,Designer and applicant prepare plans; staff review judgment/engineering/site issues; inspectors verify constructed work.,Unknown; no measured department use,Unknown; no measured department use,0 demonstrated authoritative completions; no City issuing adapter,0 demonstrated authoritative completions,Unknown; no matched outcome cohort,Guidance or supervised comparison only. Staff must verify rules and enter/complete official systems; real sensitive intake requires P0 fixes first.,Unknown; potential clerical benefit offset by duplicate entry,Unknown; field work and official-system work remain,0 via this app alone,0 via this app alone,Unknown; no proven critical-path reduction,Structured project model; parcel geometry and prior conditions; code-version rules; document revision control; review and trade dependency graph; issue/inspection interfaces.,M2;M3,Unknown empirically; conditional budgets M2;M3,Unknown empirically; conditional budgets M2;M3,Unknown case share; see path splits and remaining limits,0 for classes requiring staff inspection/merits decision; otherwise unknown,"Administrative queues/corrections may shrink; required waits, applicant work and physical work remain; no validated percentage","New build, addition, alteration and conversion must be separate paths; physical conditions and professional design remain.","P0 security/schema/state/payment correctness; official case/fee/document/notification adapters; durable jobs, recovery and audit; see backlog",No audited per-slug annual count; do not allocate broad official totals to this row,Family-specific models and shared volume sensitivity only; no additive per-form savings,High source wiring; medium workflow-family; low/unmeasured impact,O02;O10;O11;O14,https://www.portland.gov/ppd/submit-and-pay-application-permit-type;https://www.portland.gov/ppd/residential-permitting/home-projects/accessory-dwelling-units;https://www.oregon.gov/bcd/codes-stand/Pages/ossc-adoption.aspx;https://www.portland.gov/permitimprovement/code-alignment-project,evidence/catalog-verification.json#deck-permit
deconstruction-contractor,Deconstruction Contractor Certification,licenses,permit/license or conditional exemption,Business/regulatory licenses,PP&D / BPS,Medium where official family source applies; otherwise catalog attribution only,Certification/training and program registry; not the actual demolition permit.,Identify licensing authority and scope -> identity/site/credential/background or safety checks -> external recommendations -> fee/license -> renewals/enforcement,Public form schema/route implemented; original pipeline fixture reaches human_review. Client upload object/string-array validation mismatch reproduced No default discipline assignment; manual triage required,partial,https://www.portlandpermits.org/apply/deconstruction-contractor,https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/catalog/forms/licenses/deconstruction-contractor.json,none,Regulator and external agencies determine eligibility; inspections/hearings depend on license.,Unknown; no measured department use,Unknown; no measured department use,0 demonstrated authoritative completions; no City issuing adapter,0 demonstrated authoritative completions,Unknown; no matched outcome cohort,Guidance or supervised comparison only. Staff must verify rules and enter/complete official systems; real sensitive intake requires P0 fixes first.,Unknown; potential clerical benefit offset by duplicate entry,Unknown; field work and official-system work remain,0 via this app alone,0 via this app alone,Unknown; no proven critical-path reduction,Per-license rule packs; license/background registries; renewal events and agency handoffs.,unknown,Unknown empirically; conditional budgets unknown,Unknown empirically; conditional budgets unknown,Unknown case share; see path splits and remaining limits,0 for classes requiring staff inspection/merits decision; otherwise unknown,"Administrative queues/corrections may shrink; required waits, applicant work and physical work remain; no validated percentage","Catalog labels are not evidence of City authority; OLCC, county and state permissions remain separate.","P0 security/schema/state/payment correctness; official case/fee/document/notification adapters; durable jobs, recovery and audit; see backlog",No audited per-slug annual count; do not allocate broad official totals to this row,Family-specific models and shared volume sensitivity only; no additive per-form savings,High source wiring; medium workflow-family; low/unmeasured impact,O40;O42;O43,https://multco.us/services/food-cart-license;https://www.portland.gov/ppd/cannabis;https://www.oregon.gov/olcc/marijuana/Pages/default.aspx,evidence/catalog-verification.json#deconstruction-contractor
demolition-permit,Demolition Permit,permits,permit/license or conditional exemption,Demolition,PP&D,Medium where official family source applies; otherwise catalog attribution only,"Split residential with delay/deconstruction, applicable exceptions, and commercial/historic cases.",Historic/deconstruction classification -> notices and applicable delay -> utility/environmental clearances -> permit -> deconstruction/demolition with inspections -> site restoration/final,"Public form schema/route implemented; original pipeline fixture reaches human_review. Pipeline expects absent document keys: site_plan, site_photos",partial,https://www.portlandpermits.org/apply/demolition-permit,https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/catalog/forms/permits/demolition-permit.json,zoning;environmental,Specialists handle hazards; crews demolish; inspector and relevant agencies clear work.,Unknown; no measured department use,Unknown; no measured department use,0 demonstrated authoritative completions; no City issuing adapter,0 demonstrated authoritative completions,Unknown; no matched outcome cohort,Guidance or supervised comparison only. Staff must verify rules and enter/complete official systems; real sensitive intake requires P0 fixes first.,Unknown; potential clerical benefit offset by duplicate entry,Unknown; field work and official-system work remain,0 via this app alone,0 via this app alone,Unknown; no proven critical-path reduction,Property age/status; notice recipients and clocks; clearance attestations; deconstruction contractor; sequencing with replacement permit.,M3,Unknown empirically; conditional budgets M3,Unknown empirically; conditional budgets M3,Unknown case share; see path splits and remaining limits,0 for classes requiring staff inspection/merits decision; otherwise unknown,"Administrative queues/corrections may shrink; required waits, applicant work and physical work remain; no validated percentage",Applicable notice/delay and physical hazard abatement do not disappear with faster software.,"P0 security/schema/state/payment correctness; official case/fee/document/notification adapters; durable jobs, recovery and audit; see backlog",No audited per-slug annual count; do not allocate broad official totals to this row,Family-specific models and shared volume sensitivity only; no additive per-form savings,High source wiring; medium workflow-family; low/unmeasured impact,O19;O20,https://www.portland.gov/ppd/residential-permitting/home-projects/residential-demolition-permits;https://www.portland.gov/ppd/codes-rules-and-guides/bod-24-02-demolition,evidence/catalog-verification.json#demolition-permit
development-tree-plan,Development Tree Plan,permits,supporting document,Supporting document,PP&D / Urban Forestry,Medium where official family source applies; otherwise catalog attribution only,Tree protection/removal/replanting plan attached to development; independent tree work may also require permission.,Identify parent case -> submit certification/notice/affidavit -> validate signer and content -> reviewer acceptance -> satisfy parent condition,Public form schema/route implemented; original pipeline fixture reaches human_review. Client upload object/string-array validation mismatch reproduced No default discipline assignment; manual triage required,partial,https://www.portlandpermits.org/apply/development-tree-plan,https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/catalog/forms/permits/development-tree-plan.json,none,Applicant or professional attests truth; staff resolves exceptions and parent decision.,Unknown; no measured department use,Unknown; no measured department use,0 demonstrated authoritative completions; no City issuing adapter,0 demonstrated authoritative completions,Unknown; no matched outcome cohort,Guidance or supervised comparison only. Staff must verify rules and enter/complete official systems; real sensitive intake requires P0 fixes first.,Unknown; potential clerical benefit offset by duplicate entry,Unknown; field work and official-system work remain,0 via this app alone,0 via this app alone,Unknown; no proven critical-path reduction,Parent/revision binding; signatory authority; document hash; acceptance criteria; expiring-condition tracking.,unknown,Unknown empirically; conditional budgets unknown,Unknown empirically; conditional budgets unknown,Unknown case share; see path splits and remaining limits,0 for classes requiring staff inspection/merits decision; otherwise unknown,"Administrative queues/corrections may shrink; required waits, applicant work and physical work remain; no validated percentage",Not an independent permit or additional case to count in impact totals.,"P0 security/schema/state/payment correctness; official case/fee/document/notification adapters; durable jobs, recovery and audit; see backlog",No audited per-slug annual count; do not allocate broad official totals to this row,Family-specific models and shared volume sensitivity only; no additive per-form savings,High source wiring; medium workflow-family; low/unmeasured impact,O02;O22;O30,https://www.portland.gov/ppd/submit-and-pay-application-permit-type;https://www.portland.gov/code/11/40;https://www.portland.gov/fire/permits-inspections/documents/design-manual-fire-protection-systems-and-processes/download,evidence/catalog-verification.json#development-tree-plan
disabled-parking-permit,Disabled Person Parking Permit,transportation,permit/license or conditional exemption,Parking/access entitlement,Oregon DMV + certifying healthcare provider,Medium where official family source applies; otherwise catalog attribution only,"Oregon DMV, healthcare certification and placard delivery; City permitting department cannot issue it alone.",Zone/account/eligibility -> evidence and quota validation -> fee -> plate/permit/account activation -> renewal/cancellation,Public form schema/route implemented; original pipeline fixture reaches human_review. Client upload object/string-array validation mismatch reproduced No default discipline assignment; manual triage required,partial,https://www.portlandpermits.org/apply/disabled-parking-permit,https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/catalog/forms/transportation/disabled-parking-permit.json,none,Applicant residence/vehicle evidence; authority exceptions and enforcement.,Unknown; no measured department use,Unknown; no measured department use,0 demonstrated authoritative completions; no City issuing adapter,0 demonstrated authoritative completions,Unknown; no matched outcome cohort,Guidance or supervised comparison only. Staff must verify rules and enter/complete official systems; real sensitive intake requires P0 fixes first.,Unknown; potential clerical benefit offset by duplicate entry,Unknown; field work and official-system work remain,0 via this app alone,0 via this app alone,Unknown; no proven critical-path reduction,Live zones/quotas/plates; residency and benefits validation; permit ledger and enforcement-system sync.,M2,Unknown empirically; conditional budgets M2,Unknown empirically; conditional budgets M2,Unknown case share; see path splits and remaining limits,0 for classes requiring staff inspection/merits decision; otherwise unknown,"Administrative queues/corrections may shrink; required waits, applicant work and physical work remain; no validated percentage","Annual business, resident and income-qualified programs differ; disabled placards are a state/healthcare path.","P0 security/schema/state/payment correctness; official case/fee/document/notification adapters; durable jobs, recovery and audit; see backlog",No audited per-slug annual count; do not allocate broad official totals to this row,Family-specific models and shared volume sensitivity only; no additive per-form savings,High source wiring; medium workflow-family; low/unmeasured impact,O01;O41,https://www.portland.gov/ppd/devhub-faqs;https://www.oregon.gov/odot/dmv/pages/driverid/disparking.aspx,evidence/catalog-verification.json#disabled-parking-permit
