id,kind,title,url,accessed,version_or_date,evidence_scope
O28,official,Public assembly fire permits,https://www.portland.gov/fire/permits-inspections/public-assembly-permit-requirements,2026-09-09,Current page,"Capacity, event layout, inspection and staffing requirements."
O29,official,Annual special-event fire permit,https://www.portland.gov/fire/permits-inspections/documents/30008an-annual-permit-public-special-events-0/download,2026-09-09,"Posted administrative material; accessed Sep 9, 2026",Inspection/approval requirements; operational permits are not purely form checks.
O30,official,Fire protection design manual,https://www.portland.gov/fire/permits-inspections/documents/design-manual-fire-protection-systems-and-processes/download,2026-09-09,Legacy manual; current specialty code controls,Evidence of engineering and field testing; not relied on for current numerical design limits.
O31,official,Signs and awnings,https://www.portland.gov/ppd/sign-permits,2026-09-09,"Portable registration removed July 25, 2026","Permanent/temporary/exempt distinctions; sign geometry, structural and electrical requirements."
O32,official,Portable signs,https://www.portland.gov/transportation/permitting/portable-signs-boards,2026-09-09,"Current post-July 25, 2026 guidance",Placement and size rules remain after registration removal.
O33,official,UR and UC permits,https://www.portland.gov/ppd/infrastructure/ur-and-uc-permits,2026-09-09,"Current guidance; fees July 10, 2026","Private versus public ROW sewer work, insurance/bond/inspection dependencies."
O34,official,UC permit,https://www.portland.gov/ppd/infrastructure/ur-and-uc-permits/uc-permit,2026-09-09,Current page,"Existing process includes DevHub payment, staff release and PBOT inspections."
O35,official,Sewer/stormwater requirements,https://www.portland.gov/ppd/infrastructure/sewer-stormwater-permit-requirements,2026-09-09,Current page,Development-specific sewer and stormwater review and separate permits.
O36,official,DEQ construction stormwater permit,https://www.oregon.gov/deq/wq/Documents/1200CPermit.pdf,2026-09-09,2025 1200-C permit,State construction stormwater authorization is separate; does not govern every industrial-discharge case.
O37,official,ASTR before applying,https://www.portland.gov/bds/astr-permits/before-you-apply,2026-09-09,Current service guidance,"Type A/B, residency, notice and sleeping-room compliance. Read alongside specific administrative inspection rule."
O38,official,ASTR compliance rule,https://www.portland.gov/policies/environment-built/permitting-development-administrative-policies-procedures/enb-1302,2026-09-09,"Amended Aug 27, 2024",Self-certification and 10% sampled preissuance inspections for Type A; renewals differ. Current implementation should be confirmed with bureau.
O39,official,Home occupation permits,https://www.portland.gov/ppd/home-occupation-permit,2026-09-09,Current page,Type A versus Type B; visitor/employee and location criteria.
O40,official,Food cart licenses,https://multco.us/services/food-cart-license,2026-09-09,Current Multnomah County page,County license and plan review; separate from city site permissions.
O41,official,Disabled parking permits,https://www.oregon.gov/odot/dmv/pages/driverid/disparking.aspx,2026-09-09,Current Oregon DMV page,State issuance and healthcare-provider certification.
O42,official,Portland cannabis program,https://www.portland.gov/ppd/cannabis,2026-09-09,Current page,City regulatory license is separate from state licensing.
O43,official,OLCC cannabis,https://www.oregon.gov/olcc/marijuana/Pages/default.aspx,2026-09-09,Current page,State agency authority; no City-only completion.
O44,official,Revenue Division,https://www.portland.gov/revenue,2026-09-09,Current page,Portland Revenue Online already supports official filing/payment.
O45,official,Clean River Rewards,https://www.portland.gov/bes/grants-incentives/clean-river-rewards,2026-09-09,Current page,"Registration and utility-bill discount, not a construction permit."
O46,official,Environmental grants and incentives,https://www.portland.gov/bes/grants-incentives,2026-09-09,Current directory,Distinct funding and incentive programs; current program eligibility not exhaustively audited.
O47,official,FY2024-25 cumulative workload,https://www.portland.gov/ppd/drac/documents/2025-02-fy2024-25-major-workload-parameters-cumulative/download,2026-09-09,"March 20, 2025; Jul 1, 2024-Feb 28, 2025","Visually verified one-page table. Historical eight-month counts, not FY2026 actuals."
O48,official,Permit improvement Q1 2025,https://www.portland.gov/permitimprovement/documents/q1-2025-permit-improvement-quarterly-update-january-march-2025/download,2026-09-09,Jan-Mar 2025 report,Timeline cohorts and approved-to-issue distinction; small samples and existing improvements.
O49,official,FY2026-27 budget submission,https://www.portland.gov/budget/2026-2027-budget/documents/fy-26-27-comm-econ-dev-current-service-level-submission/download,2026-09-09,FY2026-27 current-service submission,FY2024-25 workload changed; old volumes must not be presented as current forecasts.
C01,source-code,Catalog loader,https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/lib/form-engine/loader.ts#L2302,2026-09-09,23b4670d8d26b9093f6e401bb89d9d6f30d8506d,"src/lib/form-engine/loader.ts:2302; source inspection and isolated tests, not proof of production configuration"
C02,source-code,Applicant UI wiring,https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/app/%28public%29/apply/%5Bslug%5D/client.tsx#L61,2026-09-09,23b4670d8d26b9093f6e401bb89d9d6f30d8506d,"src/app/(public)/apply/[slug]/client.tsx:61; source inspection and isolated tests, not proof of production configuration"
C03,source-code,Server submission and draft saving,https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/actions/applications.ts#L210,2026-09-09,23b4670d8d26b9093f6e401bb89d9d6f30d8506d,"src/actions/applications.ts:210; source inspection and isolated tests, not proof of production configuration"
C04,source-code,Client validation,https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/lib/form-engine/schema-to-zod.ts#L80,2026-09-09,23b4670d8d26b9093f6e401bb89d9d6f30d8506d,"src/lib/form-engine/schema-to-zod.ts:80; source inspection and isolated tests, not proof of production configuration"
C05,source-code,File uploader,https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/components/forms/field-renderer.tsx#L521,2026-09-09,23b4670d8d26b9093f6e401bb89d9d6f30d8506d,"src/components/forms/field-renderer.tsx:521; source inspection and isolated tests, not proof of production configuration"
C06,source-code,Completeness rules,https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/lib/review-pipeline/stages/completeness.ts#L26,2026-09-09,23b4670d8d26b9093f6e401bb89d9d6f30d8506d,"src/lib/review-pipeline/stages/completeness.ts:26; source inspection and isolated tests, not proof of production configuration"
C07,source-code,Document validation,https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/lib/review-pipeline/stages/document-validation.ts#L68,2026-09-09,23b4670d8d26b9093f6e401bb89d9d6f30d8506d,"src/lib/review-pipeline/stages/document-validation.ts:68; source inspection and isolated tests, not proof of production configuration"
C08,source-code,Six auto-approval paths,https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/lib/review-pipeline/auto-approve.ts#L48,2026-09-09,23b4670d8d26b9093f6e401bb89d9d6f30d8506d,"src/lib/review-pipeline/auto-approve.ts:48; source inspection and isolated tests, not proof of production configuration"
C09,source-code,Deterministic rule stage,https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/lib/review-pipeline/stages/rules-engine.ts#L39,2026-09-09,23b4670d8d26b9093f6e401bb89d9d6f30d8506d,"src/lib/review-pipeline/stages/rules-engine.ts:39; source inspection and isolated tests, not proof of production configuration"
C10,source-code,Discipline routing,https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/lib/review-pipeline/disciplines.ts#L12,2026-09-09,23b4670d8d26b9093f6e401bb89d9d6f30d8506d,"src/lib/review-pipeline/disciplines.ts:12; source inspection and isolated tests, not proof of production configuration"
C11,source-code,Pipeline persistence,https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/actions/pipeline.ts#L36,2026-09-09,23b4670d8d26b9093f6e401bb89d9d6f30d8506d,"src/actions/pipeline.ts:36; source inspection and isolated tests, not proof of production configuration"
C12,source-code,Pipeline orchestration,https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/lib/review-pipeline/pipeline.ts#L68,2026-09-09,23b4670d8d26b9093f6e401bb89d9d6f30d8506d,"src/lib/review-pipeline/pipeline.ts:68; source inspection and isolated tests, not proof of production configuration"
C13,source-code,Discipline completion,https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/actions/discipline-review.ts#L64,2026-09-09,23b4670d8d26b9093f6e401bb89d9d6f30d8506d,"src/actions/discipline-review.ts:64; source inspection and isolated tests, not proof of production configuration"
C14,source-code,Checkout,https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/actions/payments.ts#L33,2026-09-09,23b4670d8d26b9093f6e401bb89d9d6f30d8506d,"src/actions/payments.ts:33; source inspection and isolated tests, not proof of production configuration"
C15,source-code,Payment webhook,https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/app/api/webhooks/stripe/route.ts#L13,2026-09-09,23b4670d8d26b9093f6e401bb89d9d6f30d8506d,"src/app/api/webhooks/stripe/route.ts:13; source inspection and isolated tests, not proof of production configuration"
C16,source-code,Printable application,https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/app/api/applications/%5Bid%5D/pdf/route.ts#L14,2026-09-09,23b4670d8d26b9093f6e401bb89d9d6f30d8506d,"src/app/api/applications/[id]/pdf/route.ts:14; source inspection and isolated tests, not proof of production configuration"
C17,source-code,Authentication,https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/lib/workos/helpers.ts#L52,2026-09-09,23b4670d8d26b9093f6e401bb89d9d6f30d8506d,"src/lib/workos/helpers.ts:52; source inspection and isolated tests, not proof of production configuration"
C18,source-code,Development cookie route,https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/app/api/dev-auth/route.ts#L6,2026-09-09,23b4670d8d26b9093f6e401bb89d9d6f30d8506d,"src/app/api/dev-auth/route.ts:6; source inspection and isolated tests, not proof of production configuration"
C19,source-code,Upload route,https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/app/api/upload/route.ts#L15,2026-09-09,23b4670d8d26b9093f6e401bb89d9d6f30d8506d,"src/app/api/upload/route.ts:15; source inspection and isolated tests, not proof of production configuration"
C20,source-code,Download route,https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/app/api/download/route.ts#L11,2026-09-09,23b4670d8d26b9093f6e401bb89d9d6f30d8506d,"src/app/api/download/route.ts:11; source inspection and isolated tests, not proof of production configuration"
C21,source-code,Database adapter,https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/lib/db/index.ts#L8,2026-09-09,23b4670d8d26b9093f6e401bb89d9d6f30d8506d,"src/lib/db/index.ts:8; source inspection and isolated tests, not proof of production configuration"
C22,source-code,Database schema,https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/lib/db/schema.ts#L171,2026-09-09,23b4670d8d26b9093f6e401bb89d9d6f30d8506d,"src/lib/db/schema.ts:171; source inspection and isolated tests, not proof of production configuration"
C23,source-code,Zoning public action,https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/actions/zoning.ts#L23,2026-09-09,23b4670d8d26b9093f6e401bb89d9d6f30d8506d,"src/actions/zoning.ts:23; source inspection and isolated tests, not proof of production configuration"
C24,source-code,GIS client,https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/lib/zoning/gis-client.ts#L155,2026-09-09,23b4670d8d26b9093f6e401bb89d9d6f30d8506d,"src/lib/zoning/gis-client.ts:155; source inspection and isolated tests, not proof of production configuration"
C25,source-code,Zoning standards,https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/lib/zoning/rules-engine.ts#L1070,2026-09-09,23b4670d8d26b9093f6e401bb89d9d6f30d8506d,"src/lib/zoning/rules-engine.ts:1070; source inspection and isolated tests, not proof of production configuration"
C26,source-code,Fee calculator,https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/lib/fees/calculator.ts#L42,2026-09-09,23b4670d8d26b9093f6e401bb89d9d6f30d8506d,"src/lib/fees/calculator.ts:42; source inspection and isolated tests, not proof of production configuration"
C27,source-code,Synthetic AI pre-review,https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/lib/review-pipeline/stages/ai-pre-review.ts#L40,2026-09-09,23b4670d8d26b9093f6e401bb89d9d6f30d8506d,"src/lib/review-pipeline/stages/ai-pre-review.ts:40; source inspection and isolated tests, not proof of production configuration"
C28,source-code,Optional live AI advisor,https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/lib/ai/routing.ts#L45,2026-09-09,23b4670d8d26b9093f6e401bb89d9d6f30d8506d,"src/lib/ai/routing.ts:45; source inspection and isolated tests, not proof of production configuration"
C29,source-code,Notifications,https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/lib/notifications/triggers.ts#L78,2026-09-09,23b4670d8d26b9093f6e401bb89d9d6f30d8506d,"src/lib/notifications/triggers.ts:78; source inspection and isolated tests, not proof of production configuration"
C30,source-code,Coordination view,https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/actions/coordination.ts#L66,2026-09-09,23b4670d8d26b9093f6e401bb89d9d6f30d8506d,"src/actions/coordination.ts:66; source inspection and isolated tests, not proof of production configuration"
C31,source-code,Trade bundles,https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/actions/bundling.ts#L135,2026-09-09,23b4670d8d26b9093f6e401bb89d9d6f30d8506d,"src/actions/bundling.ts:135; source inspection and isolated tests, not proof of production configuration"
C32,source-code,Correction response UI,https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/components/applications/correction-panel.tsx#L65,2026-09-09,23b4670d8d26b9093f6e401bb89d9d6f30d8506d,"src/components/applications/correction-panel.tsx:65; source inspection and isolated tests, not proof of production configuration"
C33,source-code,Apply route draft lookup,https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/app/%28public%29/apply/%5Bslug%5D/page.tsx#L33,2026-09-09,23b4670d8d26b9093f6e401bb89d9d6f30d8506d,"src/app/(public)/apply/[slug]/page.tsx:33; source inspection and isolated tests, not proof of production configuration"
C34,source-code,Homepage claims,https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/lib/homepage/transformation-metrics.ts#L4,2026-09-09,23b4670d8d26b9093f6e401bb89d9d6f30d8506d,"src/lib/homepage/transformation-metrics.ts:4; source inspection and isolated tests, not proof of production configuration"
C35,source-code,Timeline strategy model,https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/docs/strategy/Portland_Permitting_Timeline_Reduction_Analysis.md#L4,2026-09-09,23b4670d8d26b9093f6e401bb89d9d6f30d8506d,"docs/strategy/Portland_Permitting_Timeline_Reduction_Analysis.md:4; source inspection and isolated tests, not proof of production configuration"
C36,source-code,Timeline estimator,https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/lib/timeline/estimator.ts#L680,2026-09-09,23b4670d8d26b9093f6e401bb89d9d6f30d8506d,"src/lib/timeline/estimator.ts:680; source inspection and isolated tests, not proof of production configuration"
C37,source-code,Deadline semantics,https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/lib/review-pipeline/sla.ts#L15,2026-09-09,23b4670d8d26b9093f6e401bb89d9d6f30d8506d,"src/lib/review-pipeline/sla.ts:15; source inspection and isolated tests, not proof of production configuration"
C38,source-code,Homepage catalog claim,https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/src/app/%28public%29/page.tsx#L78,2026-09-09,23b4670d8d26b9093f6e401bb89d9d6f30d8506d,"src/app/(public)/page.tsx:78; source inspection and isolated tests, not proof of production configuration"
C39,source-code,Seed/demo records,https://github.com/ekrolewicz6/portland-civic-labs/blob/23b4670d8d26b9093f6e401bb89d9d6f30d8506d/scripts/seed.ts#L22,2026-09-09,23b4670d8d26b9093f6e401bb89d9d6f30d8506d,"scripts/seed.ts:22; source inspection and isolated tests, not proof of production configuration"
