slug,title,category,new_technical_checks,full_compliance_supported,known_limit
business-tax-registration,Portland Business Tax Registration,businesses,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
cannabis-business-registration,Cannabis Business Registration,businesses,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
driveway-clearance-painting,Driveway Clearance Painting (Yellow Curb),businesses,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
food-cart-pod,Food Cart Pod Application,businesses,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
home-occupation-permit,Home Occupation Permit,businesses,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
liquor-license-recommendation,Liquor License City Recommendation,businesses,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
mobile-food-unit,Mobile Food Unit License,businesses,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
original-art-mural-permit,Original Art Mural Permit,businesses,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
payday-lender-permit,Payday Lender Permit,businesses,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
police-alarm-permit,Police Alarm Permit,businesses,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
secondhand-dealer-permit,Secondhand Dealer Permit,businesses,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
short-term-rental,Short-Term Rental (STR) Permit,businesses,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
sidewalk-cafe-permit,Sidewalk Cafe Permit,businesses,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
social-games-permit,Social Games Permit,businesses,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
transient-lodging-registration,Transient Lodging Tax Registration,businesses,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
city-claim,Claim Against the City of Portland,claims,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
code-violation-appeal,Code Enforcement Appeal,claims,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
land-use-appeal,Land Use Decision Appeal,claims,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
parking-citation-appeal,Parking Citation Appeal,claims,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
utility-bill-appeal,Utility Bill Dispute,claims,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
brownfield-grant,Brownfield Assessment Grant,grants,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
home-repair-grant,Critical Home Repair Grant,grants,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
lead-hazard-grant,Lead Hazard Reduction Grant,grants,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
pcef-grant,Portland Clean Energy Fund Grant,grants,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
watershed-grant,Community Watershed Stewardship Grant,grants,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
cannabis-license,Cannabis Retailer License Application,licenses,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
deconstruction-contractor,Deconstruction Contractor Certification,licenses,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
special-event-liquor,Special Event Liquor License Application,licenses,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
waste-hauler-license,Waste Hauler / Recycler License,licenses,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
down-payment-assistance,Down Payment Assistance Loan,loans,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
home-repair-loan,Home Repair Loan,loans,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
sewer-loan,Sewer Connection Loan,loans,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
athletic-field-permit,Athletic Field Permit,parks-recreation,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
facility-reservation,Community Center / Facility Reservation,parks-recreation,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
film-photography-permit,Film / Video / Photography Permit,parks-recreation,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
non-park-use-permit,Non-Park Use Permit,parks-recreation,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
picnic-reservation,Picnic Shelter Reservation,parks-recreation,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
public-event-parks,Public Event in Parks,parks-recreation,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
research-park-permit,Research on Park Property,parks-recreation,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
wedding-reservation,Wedding / Ceremony Reservation,parks-recreation,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
adu-permit,Accessory Dwelling Unit (ADU) Permit Application,permits,Selected ADU provisions,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
attic-basement-garage-conversion,Attic / Basement / Garage Conversion Permit,permits,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
ceremonial-bonfire-permit,Ceremonial / Recreational Bonfire Permit,permits,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
change-of-use-permit,Change of Use / Occupancy Permit,permits,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
chemical-treatment-permit,Tree Chemical Treatment Permit,permits,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
commercial-building-permit,Commercial Building Permit,permits,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
commercial-electrical-permit,Commercial Electrical Permit,permits,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
commercial-mechanical-permit,Commercial Mechanical Permit,permits,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
deck-permit,Deck Construction Permit,permits,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
demolition-permit,Demolition Permit,permits,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
development-tree-plan,Development Tree Plan,permits,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
electrical-permit,Electrical Permit,permits,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
erosion-control-permit,Erosion Control Permit,permits,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
fabric-awning-permit,Fabric Awning Permit,permits,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
fence-permit,Fence Permit,permits,Selected fence provisions,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
field-issuance-remodel,Field Issuance Remodel (FIR) Permit,permits,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
fire-alarm-alteration,Fire Alarm Alteration Affidavit,permits,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
fire-alarm-installation,Fire Alarm System Installation Permit,permits,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
fire-art-performer-permit,Fire Art Performance Permit,permits,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
fire-code-permit,Fire Code Operational Permit,permits,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
heritage-tree-permit,Heritage Tree Work Permit,permits,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
land-use-review,Land Use Review Application,permits,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
laser-permit,Laser Equipment Use Permit,permits,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
lockbox-permit,Fire Department Lockbox Permit,permits,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
major-residential-alteration,Major Residential Alteration / Addition (MRAA) Permit,permits,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
mechanical-permit,Mechanical / HVAC Permit,permits,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
noise-variance,Noise Code Variance Application,permits,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
occupant-load-posting,Occupant Load Posting,permits,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
ornamental-tree-lights,Ornamental Tree Lighting Permit,permits,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
outdoor-tent-permit,Outdoor Tent / Membrane Structure Permit,permits,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
permanent-sign-permit,Permanent Sign Permit,permits,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
plumbing-permit,Plumbing Permit,permits,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
portable-propane-permit,Portable Propane Device Permit,permits,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
portable-sign-registration,Portable Sign Registration (A-Board),permits,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
pre-application-conference,Early Assistance / Pre-Application Conference Request,permits,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
programmatic-tree-permit,Programmatic Tree Permit,permits,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
public-assembly-fire-permit,Public Assembly Fire Permit,permits,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
pyrotechnic-permit,Pyrotechnic / Special Effects Permit,permits,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
replanting-waiver,Replanting Waiver Application,permits,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
reroof-permit,Reroofing Permit,permits,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
residential-building-permit,Residential Building Permit,permits,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
retaining-wall-permit,Retaining Wall Permit,permits,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
septic-permit-new,New Septic System Permit,permits,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
septic-permit-repair,Septic System Repair / Alteration Permit,permits,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
sign-permit,Sign Permit,permits,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
site-development-permit,Site Development Permit,permits,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
solar-permit,Solar Panel Installation Permit,permits,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
sprinkler-system-minor,Minor Sprinkler Modification Permit,permits,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
sprinkler-system-permit,Fire Sprinkler System Installation Permit,permits,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
stairs-construction-permit,Stairway Construction Permit,permits,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
storm-damage-repair,Storm Damage Repair Permit,permits,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
temporary-sign-permit,Temporary Sign Permit,permits,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
tenant-improvement,Commercial Tenant Improvement (TI) Permit,permits,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
tree-attachment-permit,Tree Attachment Permit,permits,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
tree-permit-appeal,Tree Permit Appeal,permits,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
tree-pruning-private,Private Tree Pruning Permit,permits,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
tree-pruning-street,Street Tree Pruning Permit,permits,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
tree-removal-neighborhood-notice,Large Tree Removal Neighborhood Notice Certification,permits,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
tree-removal-permit,Tree Removal Permit,permits,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
tree-root-pruning,Tree Root Pruning Permit,permits,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
urban-forestry-early-assistance,Urban Forestry Early Assistance Consultation,permits,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
welding-hot-work-permit,Welding / Hot Work Permit,permits,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
clean-energy-incentive,PCEF Clean Energy Services — Community Partner Referral,rebates,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
sdc-exemption,System Development Charge (SDC) Exemption / Waiver,rebates,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
stormwater-discount,Clean River Rewards — Stormwater Management Discount,rebates,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
toilet-rebate,Toilet Replacement Rebate,rebates,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
treebate,Treebate — Tree Planting Utility Bill Credit,rebates,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
abandoned-vehicle-report,Abandoned Vehicle Report,reports,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
campsite-report,Unsanctioned Campsite Report,reports,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
code-enforcement-report,Code Enforcement Complaint,reports,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
discrimination-complaint,Discrimination / Civil Rights Complaint,reports,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
graffiti-report,Graffiti Report,reports,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
illegal-dumping-report,Illegal Dumping Report,reports,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
park-maintenance-report,Park Maintenance / Safety Issue,reports,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
pothole-report,Pothole Report,reports,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
sewer-backup-report,Sewer Backup Report,reports,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
sidewalk-hazard-report,Sidewalk Hazard Report,reports,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
streetlight-report,Streetlight Outage Report,reports,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
traffic-safety-report,Traffic Safety Concern,reports,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
water-pressure-report,Water Pressure Concern,reports,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
water-quality-report,Water Quality Concern,reports,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
bike-registration,Bicycle Registration,residents,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
garbage-recycling-setup,Garbage & Recycling Service Setup,residents,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
home-fire-safety,Home Fire Safety Assessment Request,residents,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
noise-complaint,Noise Complaint,residents,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
nuisance-complaint,Property Maintenance / Nuisance Complaint,residents,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
residential-parking-permit,Residential Parking Permit (Annual Zone Permit),residents,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
sewer-connection-loan,Sewer Connection Loan Application,residents,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
street-tree-planting,Street Tree Planting Request,residents,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
utility-bill-assistance,Utility Bill Financial Assistance,residents,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
yard-tree-planting,Yard Tree Planting (Treebate),residents,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
annual-parking-permit,Annual Parking Permit (Business / Nonprofit),transportation,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
area-parking-permit,Area Parking Permit (Zone Permit),transportation,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
bike-locker-rental,Bike Locker Rental Application,transportation,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
bike-rack-sidewalk,Bike Rack Installation Request (On-Sidewalk),transportation,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
bike-rack-street,Bike Rack Installation Request (On-Street),transportation,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
disabled-parking-permit,Disabled Person Parking Permit,transportation,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
driveway-approach-permit,Driveway Approach Permit,transportation,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
encroachment-permit,Encroachment Permit,transportation,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
leap-parking-permit,Low-Income Evening Access Parking (LEAP) Permit,transportation,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
oversize-load-permit,Oversize / Overweight Load Permit,transportation,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
parking-day-permit,PARK(ing) Day Permit,transportation,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
portable-storage-permit,Portable Storage Container Permit,transportation,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
right-of-way-permit,Right-of-Way Use Permit,transportation,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
special-event-permit,Special Event Transportation Permit,transportation,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
street-closure-permit,Temporary Street Closure Permit (TSUP),transportation,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
utility-locate-request,Utility Locate Request,transportation,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
address-change,Address Change Notification,updates,No new substantive permit-specific code pack,No,Intake validation and coverage-gap reporting do not establish substantive review; generic legacy routing is not validated for every civic service.
